# Matter power spectrum P(k) at redshift z=0
# for k=9.66272e-06 to 139.669 h/Mpc,
# number of wavenumbers equal to 3581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.662718825292e-06       6.267444095782e+01 
       9.707319908908e-06       6.295299842243e+01 
       9.752126861773e-06       6.323280146850e+01 
       9.797140634135e-06       6.351384710306e+01 
       9.842362180631e-06       6.379613990941e+01 
       9.887792460300e-06       6.407968548037e+01 
       9.933432436613e-06       6.436449404080e+01 
       9.979283077485e-06       6.465057131893e+01 
       1.002534535530e-05       6.493791502539e+01 
       1.007162024693e-05       6.522653767380e+01 
       1.011810873375e-05       6.551644462066e+01 
       1.016481180168e-05       6.580764133440e+01 
       1.021173044118e-05       6.610012575133e+01 
       1.025886564727e-05       6.639391842641e+01 
       1.030621841959e-05       6.668901348773e+01 
       1.035378976238e-05       6.698541829559e+01 
       1.040158068451e-05       6.728314572315e+01 
       1.044959219952e-05       6.758218882543e+01 
       1.049782532560e-05       6.788256259936e+01 
       1.054628108569e-05       6.818427130188e+01 
       1.059496050739e-05       6.848732923627e+01 
       1.064386462310e-05       6.879172686067e+01 
       1.069299446996e-05       6.909747826193e+01 
       1.074235108988e-05       6.940458423309e+01 
       1.079193552961e-05       6.971305566886e+01 
       1.084174884071e-05       7.002290616561e+01 
       1.089179207961e-05       7.033412925362e+01 
       1.094206630760e-05       7.064673586875e+01 
       1.099257259089e-05       7.096072784873e+01 
       1.104331200059e-05       7.127611933706e+01 
       1.109428561276e-05       7.159290904633e+01 
       1.114549450844e-05       7.191111395812e+01 
       1.119693977364e-05       7.223072935999e+01 
       1.124862249940e-05       7.255176452737e+01 
       1.130054378178e-05       7.287423369978e+01 
       1.135270472190e-05       7.319812834579e+01 
       1.140510642599e-05       7.352345885273e+01 
       1.145775000536e-05       7.385024818510e+01 
       1.151063657644e-05       7.417847444457e+01 
       1.156376726085e-05       7.450816926182e+01 
       1.161714318536e-05       7.483932137620e+01 
       1.167076548193e-05       7.517195982097e+01 
       1.172463528779e-05       7.550608345624e+01 
       1.177875374537e-05       7.584165716705e+01 
       1.183312200240e-05       7.617874254844e+01 
       1.188774121190e-05       7.651733011130e+01 
       1.194261253222e-05       7.685741608375e+01 
       1.199773712704e-05       7.719902044177e+01 
       1.205311616543e-05       7.754213818238e+01 
       1.210875082185e-05       7.788677309819e+01 
       1.216464227618e-05       7.823294943906e+01 
       1.222079171374e-05       7.858068685694e+01 
       1.227720032533e-05       7.892992400294e+01 
       1.233386930723e-05       7.928073343262e+01 
       1.239079986128e-05       7.963310443508e+01 
       1.244799319482e-05       7.998704108465e+01 
       1.250545052079e-05       8.034254735832e+01 
       1.256317305773e-05       8.069963592018e+01 
       1.262116202980e-05       8.105827197805e+01 
       1.267941866680e-05       8.141854165646e+01 
       1.273794420422e-05       8.178043977909e+01 
       1.279673988324e-05       8.214393206571e+01 
       1.285580695079e-05       8.250902739689e+01 
       1.291514665953e-05       8.287574955695e+01 
       1.297476026793e-05       8.324405208304e+01 
       1.303464904024e-05       8.361403702520e+01 
       1.309481424656e-05       8.398571472939e+01 
       1.315525716286e-05       8.435899566507e+01 
       1.321597907098e-05       8.473391543346e+01 
       1.327698125869e-05       8.511049532563e+01 
